,submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
6535,05/06/2020,FL,38002,,,563,0.0,1539,,,68,0.0,05/07/2020 10:59:02 PM,Not agree,Not agree
6536,09/08/2020,OR,28355,26988.0,1367.0,165,60.0,486,473.0,13.0,4,1.0,09/09/2020 01:47:50 PM,Agree,Agree
6537,08/01/2020,MN,55947,,,759,0.0,1654,1614.0,40.0,8,0.0,08/02/2020 02:54:37 PM,,Agree
6538,07/24/2020,NM,18475,,,312,0.0,601,,,5,-9.0,07/25/2020 05:40:06 PM,,Not agree
6539,05/28/2020,FL,51918,,,-716,0.0,2364,,,45,0.0,05/29/2020 02:19:55 PM,Not agree,Not agree
6540,12/06/2020,IL,787573,787573.0,0.0,7598,0.0,14116,13255.0,861.0,99,23.0,12/07/2020 02:38:33 PM,Agree,Agree
6541,06/27/2020,AS,0,,,0,0.0,0,,,0,0.0,06/28/2020 02:59:02 PM,,
6542,08/10/2020,CO,51039,47651.0,3388.0,379,95.0,1863,1522.0,341.0,5,0.0,08/11/2020 02:16:27 PM,Agree,Agree
6543,07/10/2020,MS,34622,34321.0,301.0,0,0.0,1215,1195.0,20.0,0,0.0,07/11/2020 06:25:05 PM,Agree,Agree
6544,04/25/2020,WY,491,362.0,129.0,18,5.0,7,7.0,0.0,0,0.0,05/25/2020 03:38:40 PM,Agree,Agree
6545,12/01/2020,NY,340717,,,4716,0.0,10061,,,59,0.0,12/02/2020 03:48:48 PM,Not agree,Not agree
6546,08/05/2020,NE,27489,,,311,0.0,335,,,3,0.0,08/06/2020 02:12:27 PM,Not agree,Not agree
6547,02/27/2020,OK,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
6548,05/21/2020,MA,90084,90084.0,0.0,1114,0.0,6148,6148.0,0.0,82,0.0,05/22/2020 03:31:45 PM,Agree,Agree
6549,01/18/2021,NYC,543459,469641.0,73818.0,5566,1252.0,26163,21277.0,4886.0,57,8.0,01/19/2021 02:37:00 PM,Agree,Agree
6550,03/10/2020,SC,9,,,2,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
6551,02/23/2020,NM,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,,Not agree
6552,04/27/2020,IN,15961,,,949,0.0,932,844.0,88.0,31,0.0,05/25/2020 03:38:40 PM,Not agree,Agree
6553,04/14/2020,NM,1407,,,62,,36,,,5,,04/13/2020 04:22:39 PM,,Not agree
6554,12/05/2020,VA,255053,223379.0,31674.0,3880,1011.0,4200,3822.0,378.0,3,0.0,12/06/2020 02:51:16 PM,Agree,Agree
6555,11/10/2020,WI,293812,278843.0,14969.0,7432,359.0,2482,2395.0,87.0,72,6.0,11/11/2020 03:15:25 PM,Agree,Agree
6556,06/16/2020,TX,93206,,,4098,0.0,2029,,,46,0.0,06/17/2020 03:06:04 PM,Not agree,Not agree
6557,12/11/2020,PR,61723,59292.0,2431.0,721,58.0,1266,1023.0,243.0,17,2.0,12/12/2020 02:59:37 PM,Agree,Agree
6558,01/28/2020,OH,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
6559,09/30/2020,NV,80085,,,386,1.0,1642,,,7,0.0,10/01/2020 01:42:11 PM,,
