,RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30
109,395009,251,"Punta Gorda, FL",Msa,FL,32.0,34.0,38.0,36.0,38.0,41.0,42.0,41.0,36.0,33.0,28.0,26.0,31.0,37.0,48.0,50.0,54.0,52.0,48.0,44.0,37.0,36.0,34.0,35.0,40.0,40.0,41.0,35.0,39.0,42.0,39.0,30.0,21.0
110,395007,253,"Pueblo, CO",Msa,CO,24.0,35.0,31.0,29.0,18.0,18.0,20.0,20.0,25.0,29.0,38.0,44.0,43.0,39.0,29.0,24.0,16.0,13.0,19.0,23.0,33.0,36.0,44.0,48.0,39.0,36.0,24.0,,20.0,17.0,14.0,18.0,23.0
111,395094,331,"Sherman, TX",Msa,TX,41.0,32.0,34.0,28.0,32.0,42.0,38.0,35.0,28.0,39.0,45.0,52.0,54.0,48.0,40.0,34.0,36.0,39.0,39.0,39.0,42.0,45.0,47.0,51.0,59.0,66.0,58.0,47.0,39.0,38.0,37.0,33.0,33.0
112,394546,343,"Dunn, NC",Msa,NC,50.0,43.0,35.0,26.0,22.0,21.0,21.0,23.0,29.0,34.0,35.0,33.0,34.0,30.0,26.0,18.0,16.0,16.0,16.0,17.0,18.0,19.0,20.0,22.0,27.0,23.0,18.0,11.0,11.0,9.0,7.0,5.0,5.0
113,395166,383,"Truckee, CA",Msa,CA,53.0,41.0,30.0,19.0,18.0,17.0,18.0,22.0,31.0,39.0,46.0,46.0,47.0,44.0,38.0,32.0,27.0,24.0,24.0,29.0,35.0,41.0,42.0,45.0,47.0,40.0,30.0,26.0,24.0,26.0,17.0,14.0,9.0
114,395153,399,"The Villages, FL",Msa,FL,29.0,31.0,33.0,30.0,30.0,29.0,31.0,33.0,37.0,34.0,28.0,26.0,38.0,40.0,38.0,27.0,29.0,33.0,38.0,38.0,35.0,30.0,28.0,26.0,25.0,25.0,22.0,24.0,30.0,31.0,31.0,25.0,26.0
115,394586,504,"Faribault, MN",Msa,MN,,,49.0,32.0,26.0,24.0,18.0,21.0,26.0,34.0,42.0,51.0,57.0,56.0,48.0,38.0,28.0,23.0,25.0,29.0,31.0,32.0,36.0,48.0,53.0,48.0,32.0,22.0,18.0,20.0,22.0,21.0,19.0
116,394309,527,"Albemarle, NC",Msa,NC,53.0,51.0,40.0,26.0,17.0,16.0,17.0,19.0,26.0,28.0,34.0,38.0,39.0,32.0,21.0,16.0,13.0,16.0,21.0,24.0,22.0,19.0,17.0,19.0,19.0,22.0,21.0,20.0,18.0,15.0,14.0,14.0,12.0
117,394742,595,"Kerrville, TX",Msa,TX,70.0,51.0,73.0,63.0,74.0,49.0,49.0,37.0,47.0,48.0,44.0,41.0,44.0,58.0,54.0,57.0,49.0,51.0,55.0,50.0,53.0,54.0,62.0,62.0,73.0,63.0,55.0,39.0,54.0,63.0,61.0,58.0,60.0
118,395230,672,"Wilmington, OH",Msa,OH,,38.0,28.0,18.0,12.0,13.0,11.0,12.0,15.0,20.0,26.0,27.0,37.0,32.0,27.0,12.0,9.0,10.0,10.0,17.0,18.0,18.0,24.0,37.0,42.0,30.0,16.0,11.0,11.0,8.0,5.0,4.0,4.0
